"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","1","Second Testing Creation of rcs engagement from channel flow","","","","","RCS_testCreatRCSEngage_OnlyMandatoryParam as withNULLDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","Second Testing Creation of rcs engagement from channel flow","","","","","RCS_testCopyRCSEngage_OnlyMandatoryParam as onlyTextDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCreatRCSEngage_OnlyMandatoryParam","","","","","RCS_testCreatRCSEngage_OnlyMandatoryParam as withEmptyDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","1","RCS_testCreatingRCSEngage_contentTag_Type_Media","","","","","RCS_testCreateRCSEngage_OnlyContentTags as longTextTag3",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","Second Testing Creation of rcs engagement from channel flow","","","","","RCS_testUpdateRCSEngage_OnlyMandatoryParam as withSpaceDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","Second Testing Creation of rcs engagement from channel flow","","","","","RCS_testUpdateRCSEngage_OnlyMandatoryParam as onlyNumberDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCopyRCSEngage_OnlyContentAttribute_Type_Media","","","","","RCS_testCopyRCSEngage_OnlyContentAttribute as longTextAttri",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","Second Testing Creation of rcs engagement from channel flow","","","","","RCS_testCopyRCSEngage_OnlyMandatoryParam as specialCharDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCopyRCSEngage_OnlyContentAttribute_Type_Media","","","","","RCS_testCopyRCSEngage_OnlyContentAttribute as onlyTextAttri",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCopyRCSEngage_OnlyMandatoryParam","","","","","RCS_testCopyRCSEngage_OnlyMandatoryParam as onlyNumberDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCopyRCSEngage_OnlyMandatoryParam","","","","","RCS_testCopyRCSEngage_OnlyMandatoryParam as longTextDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testUpdateRCSEngage_OnlyContentAttribute_Type_Media","","","","","RCS_testUpdateRCSEngage_OnlyContentAttribute as withNULLAttri",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCreatRCSEngage_OnlyMandatoryParam","","","","","RCS_testCreatRCSEngage_OnlyMandatoryParam as onlyTextDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testUpdateRCSEngage_OnlyMandatoryParam","","","","","RCS_testUpdateRCSEngage_OnlyMandatoryParam as specialCharDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCreatRCSEngage_OnlyMandatoryParam","","","","","RCS_testCreatRCSEngage_OnlyMandatoryParam as combineTxtNumDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","Second Testing Creation of rcs engagement from channel flow","","","","","RCS_testCopyingRCSEngageofGoalTypeTrack",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCreatRCSEngage_OnlyMandatoryParam","","","","","RCS_testCreatRCSEngage_OnlyMandatoryParam as specialCharDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","Second Testing Creation of rcs engagement from channel flow","","","","","RCS_testUpdateRCSEngage_OnlyMandatoryParam as combineTxtNumDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","Second Testing Creation of rcs engagement from channel flow","","","","","RCS_testUpdateRCSEngage_OnlyContentTags as onlyTextTag5",""
